Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,Delays
1994,5,17,2,1328,1327,1556,1557,UA,148,150,0,-1,1,MIA,IAD,921,1
1994,9,4,7,1520,1520,1614,1628,UA,114,128,0,-14,0,LIT,DEN,770,0
1994,5,3,2,805,805,1051,1053,DL,106,108,0,-2,0,SEA,SLC,689,0
1994,3,2,3,1715,1715,1950,1943,AS,155,148,0,7,0,SEA,LAX,954,1
1994,10,3,1,1340,1328,1439,1434,UA,59,66,0,5,12,SFO,SBA,262,1
1994,2,18,5,2020,1956,2142,2115,CO,142,139,0,27,24,DEN,SAN,853,1
1994,5,10,2,858,859,1029,1040,AA,91,101,0,-11,-1,RDU,DTW,501,0
1994,12,26,1,930,919,1045,1037,AA,75,78,0,8,11,DFW,MSY,448,1
1994,4,21,4,815,815,904,910,WN,49,55,0,-6,0,SAT,DAL,248,0
1994,10,9,7,806,808,941,952,TW,95,104,0,-11,-2,DFW,STL,551,0
1994,5,20,5,1750,1745,2110,2050,UA,140,125,0,20,5,ORD,PWM,900,1
1994,12,16,5,930,930,948,945,WN,78,75,0,3,0,PHX,LAX,370,1
1994,11,20,7,2114,2100,2203,2155,WN,49,55,0,8,14,LBB,DAL,293,1
1994,6,12,7,1544,1535,1832,1806,UA,168,151,0,26,9,LAX,SEA,954,1
1994,10,4,2,1335,1300,2104,2035,DL,269,275,0,29,35,LAX,MCO,2217,1
1994,7,14,4,721,721,843,845,AA,142,144,0,-2,0,TPA,DFW,929,0
1994,6,22,3,1044,1040,1209,1216,NW,85,96,0,-7,4,DTW,LGA,501,1
1994,1,19,3,2144,2105,2250,2215,CO,66,70,0,35,39,GSO,ATL,306,1
1994,4,22,5,1128,1130,1407,1353,AS,159,143,0,14,-2,PDX,SNA,859,1
1994,12,21,3,821,821,821,820,DL,60,59,0,1,0,ATL,BNA,214,1
1994,1,26,3,0,1400,0,1532,AA,0,152,0,0,0,LGA,ORD,733,0
1994,6,4,6,1658,1700,1954,2007,UA,116,127,0,-13,-2,SNA,DEN,846,0
1994,2,4,5,2047,2026,2310,2254,AA,83,88,0,16,21,ORD,PIT,412,1
1994,6,2,4,1840,1840,2055,2043,AS,135,123,0,12,0,PDX,BUR,817,1
1994,7,30,6,745,745,838,840,WN,53,55,0,-2,0,SAT,DAL,248,0
1994,3,8,2,2002,1950,2216,2202,CO,314,312,0,14,12,CLE,LAX,2053,1
1994,3,25,5,2323,2315,556,602,NW,213,227,0,-6,8,LAS,DTW,1750,1
1994,6,26,7,2122,2100,2234,2220,WN,72,80,0,14,22,BNA,MDW,395,1
1994,4,4,1,900,900,1005,1010,WN,65,70,0,-5,0,LAX,PHX,370,0
1994,9,4,7,1918,1919,2001,2010,DL,103,111,0,-9,-1,DFW,COS,592,0
1994,2,4,5,1900,1851,1847,1840,DL,47,49,0,7,9,ATL,MGM,147,1
1994,12,23,5,1822,1815,2208,2215,UA,166,180,0,-7,7,ORD,MIA,1197,1
1994,7,6,3,1033,1035,1151,1159,NW,78,84,0,-8,-2,DTW,IAD,383,0
1994,12,12,1,643,645,727,738,UA,44,53,0,-11,-2,FLL,MCO,178,0
1994,1,16,7,1920,1920,2100,2100,DL,40,40,0,0,0,MGM,ATL,147,0
1994,2,26,6,1037,1023,1414,1350,HP,157,147,0,24,14,PHX,MCI,1044,1
1994,7,14,4,1313,1315,2056,2100,AA,283,285,0,-4,-2,HNL,SFO,2398,0
1994,9,11,7,1555,1549,1702,1654,AA,67,65,0,8,6,DFW,LBB,282,1
1994,10,1,6,1911,1915,1928,1928,CO,77,73,0,0,-4,CLE,MKE,328,0
1994,9,12,1,2036,2030,2142,2149,US,66,79,0,-7,6,PHL,GSO,365,1
1994,7,21,4,1133,1130,1426,1414,AA,173,164,0,12,3,MIA,STT,1107,1
1994,6,17,5,1731,1730,1840,1910,US,249,280,0,-30,1,DAY,LAX,1925,1
1994,3,27,7,1430,1430,1507,1515,WN,37,45,0,-8,0,AUS,DAL,189,0
1994,12,28,3,1738,1734,1842,1840,DL,64,66,0,2,4,DFW,SHV,190,1
1994,9,8,4,605,605,705,707,UA,60,62,0,-2,0,STL,ORD,258,0
1994,1,29,6,1952,1950,2142,2142,NW,170,172,0,0,2,MSP,SLC,991,1
1994,1,10,1,1314,1315,1612,1613,AA,118,118,0,-1,-1,GUC,DFW,678,0
1994,12,10,6,1313,1315,1355,1358,CO,42,43,0,-3,-2,MCI,OMA,152,0
1994,3,6,7,1815,1815,1935,1939,US,80,84,0,-4,0,CLT,CVG,335,0
1994,10,19,3,1432,1429,1611,1605,UA,99,96,0,6,3,ATL,IAD,533,1
1994,5,19,4,758,800,1325,1328,NW,207,208,0,-3,-2,LAX,MSP,1536,0
1994,3,9,3,923,835,939,901,UA,76,86,0,38,48,CVG,ORD,264,1
1994,4,15,5,1434,1434,1641,1615,UA,127,101,0,26,0,ICT,ORD,588,1
1994,10,23,7,852,855,1032,1035,NW,100,100,0,-3,-3,MEM,ORD,491,0
1994,12,21,3,1017,1016,1246,1239,AA,149,143,0,7,1,IAH,ORD,925,1
1994,8,23,2,1717,1715,2053,2043,US,156,148,0,10,2,DFW,CLT,936,1
1994,11,15,2,1650,1645,1821,1819,AA,91,94,0,2,5,ORD,BNA,409,1
1994,1,25,2,2117,1940,2250,2101,CO,213,201,0,109,97,CLE,DEN,1201,1
1994,1,5,3,855,850,1125,1125,AA,150,155,0,0,5,ORD,AUS,978,1
1994,2,28,1,815,815,1050,1053,AA,95,98,0,-3,0,BNA,BWI,588,0
1994,8,22,1,1752,1715,1842,1756,AS,50,41,0,46,37,LAX,SAN,109,1
1994,2,19,6,827,830,945,1002,UA,78,92,0,-17,-3,DEN,SLC,391,0
1994,7,15,5,643,645,736,733,US,53,48,0,3,-2,TPA,TLH,200,1
1994,4,10,7,1409,1355,1610,1556,AA,121,121,0,14,14,RDU,MIA,700,1
1994,7,20,3,740,738,857,847,AA,137,129,0,10,2,ATL,DFW,732,1
1994,2,19,6,912,915,1103,1107,AA,111,112,0,-4,-3,ORD,TUL,585,0
1994,5,11,3,823,821,921,920,DL,58,59,0,1,2,ATL,JAX,270,1
1994,12,12,1,2135,2135,2245,2246,US,70,71,0,-1,0,PIT,PHF,308,0
1994,7,5,2,854,855,1027,1033,NW,153,158,0,-6,-1,DCA,MSP,931,0
1994,7,31,7,700,700,1206,1212,AA,186,192,0,-6,0,RNO,DFW,1345,0
1994,9,28,3,1558,1600,1703,1704,CO,65,64,0,-1,-2,IAH,MSY,305,0
1994,11,13,7,1659,1655,1958,2008,UA,119,133,0,-10,4,DEN,ORD,888,1
1994,11,2,3,700,700,752,800,US,52,60,0,-8,0,ROC,BWI,277,0
1994,9,28,3,831,830,916,920,DL,45,50,0,-4,1,ATL,TYS,152,1
1994,9,16,5,1544,1540,1653,1645,US,69,65,0,8,4,PHL,PIT,267,1
1994,6,14,2,1257,1300,1517,1524,DL,80,84,0,-7,-3,SMF,SLC,532,0
1994,6,12,7,1605,1600,1703,1659,US,58,59,0,4,5,BWI,LGA,185,1
1994,8,16,2,1105,1105,1218,1215,WN,73,70,0,3,0,MCI,MDW,405,1
1994,6,24,5,2315,2255,2303,2241,DL,48,46,0,22,20,ATL,MGM,147,1
1994,2,2,3,1955,1955,2257,2258,AS,122,123,0,-1,0,SIT,SEA,862,0
1994,5,13,5,2112,2110,2208,2207,HP,56,57,0,1,2,PHX,LAS,256,1
1994,2,5,6,1033,1035,1045,1058,AA,72,83,0,-13,-2,CLE,ORD,316,0
1994,7,12,2,1638,1640,1746,1755,US,68,75,0,-9,-2,EWR,BUF,282,0
1994,11,5,6,1251,1248,1340,1350,DL,169,182,0,-10,3,CVG,DEN,1069,1
1994,11,9,3,1211,1205,1344,1332,CO,153,147,0,12,6,MDW,DEN,895,1
1994,5,24,2,1000,1000,1055,1059,US,55,59,0,-4,0,RIC,PHL,198,0
1994,9,25,7,1513,1510,1632,1633,US,79,83,0,-1,3,EWR,PIT,319,1
1994,9,19,1,2105,2105,2247,2244,US,102,99,0,3,0,PIT,BGR,652,1
1994,5,16,1,2101,2058,22,20,DL,141,142,0,2,3,DFW,MCO,984,1
1994,3,15,2,904,905,1136,1150,CO,92,105,0,-14,-1,DEN,MCI,533,0
1994,3,11,5,1455,1500,1618,1633,NW,83,93,0,-15,-5,MSP,STL,449,0
1994,10,13,4,1312,1312,1434,1450,DL,262,278,0,-16,0,CVG,SFO,2036,0
1994,8,12,5,2008,1955,2203,2150,US,115,115,0,13,13,BWI,JAX,663,1
1994,10,16,7,2129,2100,2227,2200,WN,58,60,0,27,29,MSY,HOU,303,1
1994,11,18,5,755,754,809,815,AA,74,81,0,-6,1,CMH,ORD,296,1
1994,5,23,1,848,845,1030,1021,US,102,96,0,9,3,ABE,CLT,481,1
1994,12,10,6,1426,1425,1950,1957,NW,204,212,0,-7,1,SMF,MSP,1518,1
1994,1,5,3,837,838,1113,1122,CO,156,164,0,-9,-1,EWR,DAB,884,0
1994,3,22,2,1348,1349,1855,1912,AA,187,203,0,-17,-1,OAK,DFW,1456,0
1994,9,2,5,1659,1700,1933,1914,US,154,134,0,19,-1,TPA,PIT,873,1
1994,10,6,4,752,750,1520,1525,UA,268,275,0,-5,2,SAN,IAD,2253,1
1994,6,17,5,1400,1400,1441,1456,UA,101,116,0,-15,0,DCA,ORD,612,0
1994,4,3,7,635,636,743,742,AA,68,66,0,1,-1,LIT,BNA,327,1
1994,9,19,1,1717,1650,1942,1916,US,145,146,0,26,27,FLL,BWI,925,1
1994,1,22,6,1242,1240,1426,1412,DL,164,152,0,14,2,TPA,DFW,929,1
1994,9,17,6,1506,1455,1616,1608,US,70,73,0,8,11,CMH,CLT,346,1
1994,7,18,1,1100,1105,1050,1055,CO,50,50,0,-5,-5,CMH,IND,182,0
1994,6,5,7,1333,1331,1917,1915,UA,224,224,0,2,2,SEA,ORD,1721,1
1994,2,3,4,2021,2023,2125,2135,UA,64,72,0,-10,-2,BUR,SFO,326,0
1994,1,29,6,0,921,0,1042,AA,0,81,0,0,0,DFW,MSY,448,0
1994,10,16,7,1433,1414,1511,1503,AA,98,109,0,8,19,DFW,COS,592,1
1994,8,22,1,0,1625,0,1856,CO,0,211,0,0,0,EWR,IAH,1400,0
1994,11,29,2,834,824,1019,1000,DL,105,96,0,19,10,ATL,RSW,515,1
1994,7,6,3,815,815,921,926,CO,66,71,0,-5,0,FLL,JAX,318,0
1994,2,20,7,2137,1935,2231,2030,WN,54,55,0,121,122,HRL,HOU,276,1
1994,6,1,3,1210,1209,1344,1345,DL,154,156,0,-1,1,DFW,SLC,988,1
1994,11,7,1,1824,1825,1954,1952,UA,90,87,0,2,-1,SMF,PDX,479,1
1994,8,30,2,1653,1640,1826,1809,US,93,89,0,17,13,CLT,TPA,508,1
1994,8,26,5,1123,1123,1443,1439,UA,140,136,0,4,0,PDX,DEN,992,1
1994,5,21,6,2014,2015,2114,2125,US,60,70,0,-11,-1,DCA,SYR,298,0
1994,1,7,5,1451,1451,1601,1600,DL,70,69,0,1,0,CVG,DTW,229,1
1994,9,23,5,1751,1745,1828,1825,CO,97,100,0,3,6,MCI,DEN,533,1
1994,11,3,4,1206,1205,1422,1420,DL,136,135,0,2,1,ATL,JFK,760,1
1994,2,13,7,1229,1215,1320,1310,WN,51,55,0,10,14,SAT,DAL,248,1
1994,11,9,3,1053,1045,1642,1619,CO,229,214,0,23,8,SFO,IAH,1635,1
1994,1,24,1,2030,2030,2240,2240,HP,70,70,0,0,0,LAX,PHX,370,0
1994,8,5,5,709,710,819,820,NW,70,70,0,-1,-1,MKE,MSP,297,0
1994,3,17,4,730,730,1043,1052,UA,133,142,0,-9,0,PDX,DEN,992,0
1994,7,22,5,709,710,1253,1250,TW,224,220,0,3,-1,ONT,STL,1547,1
1994,4,16,6,629,630,834,840,UA,65,70,0,-6,-1,ORD,CLE,316,0
1994,2,17,4,1840,1845,1937,1956,NW,117,131,0,-19,-5,MCO,MEM,683,0
1994,5,26,4,1558,1600,1716,1722,CO,138,142,0,-6,-2,DEN,SNA,846,0
1994,9,4,7,925,925,1428,1436,HP,183,191,0,-8,0,PHX,ORD,1440,0
1994,7,11,1,1817,1740,1929,1855,US,72,75,0,34,37,BWI,CLT,361,1
1994,11,22,2,715,715,846,858,CO,151,163,0,-12,0,PBI,IAH,956,0
1994,11,12,6,1237,1237,1344,1352,AA,187,195,0,-8,0,DFW,SNA,1205,0
1994,3,11,5,754,753,1231,1224,AA,217,211,0,7,1,PHL,SJU,1576,1
1994,2,26,6,1945,1945,2045,2045,WN,60,60,0,0,0,DAL,LBB,293,0
1994,6,2,4,829,830,1045,1048,DL,136,138,0,-3,-1,ALB,ATL,852,0
1994,9,3,6,738,740,1058,1110,NW,140,150,0,-12,-2,MSP,PHL,980,0
1994,2,5,6,1055,1055,1334,1330,HP,219,215,0,4,0,ORD,PHX,1440,1
1994,12,7,3,2102,1955,2145,2041,TW,43,46,0,64,67,SEA,PDX,129,1
1994,9,17,6,1604,1554,1813,1803,AA,249,249,0,10,10,DFW,SEA,1660,1
1994,11,12,6,1230,1232,1709,1700,TW,219,208,0,9,-2,HOU,JFK,1428,1
1994,2,13,7,1910,1900,2025,2025,WN,75,85,0,0,10,OAK,SAN,446,1
1994,3,6,7,2202,2155,10,2356,AA,248,241,0,14,7,DFW,PDX,1616,1
1994,8,7,7,1842,1840,2132,2135,CO,110,115,0,-3,2,IND,EWR,644,1
1994,11,22,2,1908,1910,2223,2230,CO,135,140,0,-7,-2,IAH,MIA,964,0
1994,9,21,3,1800,1800,1915,1908,US,75,68,0,7,0,CLT,IAD,321,1
1994,2,19,6,1730,1730,1824,1835,CO,54,65,0,-11,0,BWI,EWR,169,0
1994,11,1,2,2023,2025,2205,2200,NW,102,95,0,5,-2,DTW,HPN,505,1
1994,2,22,2,549,545,659,700,NW,70,75,0,-1,4,BIS,MSP,386,1
1994,10,15,6,1521,1520,1739,1732,US,138,132,0,7,1,TPA,BWI,842,1
1994,6,18,6,1605,1605,1804,1752,TW,179,167,0,12,0,MIA,STL,1068,1
1994,10,13,4,1526,1522,2105,2103,AA,219,221,0,2,4,SEA,ORD,1721,1
1994,7,5,2,753,752,1030,1024,TW,97,92,0,6,1,STL,ATL,483,1
1994,6,15,3,959,958,1138,1140,DL,99,102,0,-2,1,ATL,BWI,576,1
1994,9,18,7,938,938,1216,1220,HP,98,102,0,-4,0,PHX,DEN,602,0
1994,7,13,3,1355,1355,1432,1435,WN,97,100,0,-3,0,ELP,SAN,636,0
1994,12,9,5,1202,1204,1245,1250,DL,43,46,0,-5,-2,SLC,IDA,188,0
1994,10,21,5,1827,1815,2125,2132,TW,358,377,0,-7,12,JFK,LAX,2475,1
1994,1,6,4,818,815,817,825,WN,59,70,0,-8,3,PHX,SAN,304,1
1994,1,15,6,1005,952,1218,1154,CO,133,122,0,24,13,ATL,EWR,745,1
1994,3,11,5,1040,1045,1122,1125,NW,42,40,0,-3,-5,LAN,DTW,74,0
1994,10,1,6,613,610,1240,1230,DL,207,200,0,10,3,PHX,ATL,1587,1
1994,7,26,2,643,645,749,745,US,66,60,0,4,-2,DAY,PIT,215,1
1994,7,8,5,1710,1710,2034,2019,TW,144,129,0,15,0,STL,BWI,737,1
1994,2,16,3,2151,2150,2229,2235,NW,38,45,0,-6,1,DTW,AZO,113,1
1994,8,11,4,850,845,954,950,HP,244,245,0,4,5,MCO,PHX,1848,1
1994,7,17,7,1007,1010,1101,1119,CO,174,189,0,-18,-3,IAH,SAN,1303,0
1994,9,7,3,1708,1700,1914,1920,DL,126,140,0,-6,8,ATL,EWR,745,1
1994,8,26,5,1329,1330,1453,1452,UA,84,82,0,1,-1,ORD,BNA,409,1
1994,10,20,4,1040,1040,1038,1040,WN,58,60,0,-2,0,CMH,MDW,284,0
1994,2,1,2,1556,1555,1727,1719,DL,151,144,0,8,1,MCI,SLC,919,1
1994,4,6,3,1606,1605,1656,1704,US,50,59,0,-8,1,PHL,SYR,228,1
1994,1,16,7,0,2144,0,2311,AA,0,87,0,0,0,ORD,OMA,416,0
1994,2,25,5,1245,1240,1520,1518,US,155,158,0,2,5,PBI,PHL,951,1
1994,9,8,4,928,928,1011,1008,HP,43,40,0,3,0,PHX,TUS,110,1
1994,7,9,6,1059,1100,1145,1153,CO,46,53,0,-8,-1,IAH,SAT,191,0
1994,9,7,3,1515,1515,1635,1637,AS,80,82,0,-2,0,PSP,SFO,421,0
1994,10,5,3,1931,1930,2044,2050,US,73,80,0,-6,1,BWI,CLT,361,1
1994,11,15,2,1239,1235,1428,1412,DL,229,217,0,16,4,CVG,SLC,1449,1
1994,8,31,3,730,730,824,815,WN,54,45,0,9,0,HOU,SAT,192,1
1994,6,16,4,1944,1925,2024,2020,DL,40,55,0,4,19,AGS,ATL,143,1
1994,6,6,1,844,845,1045,1054,UA,241,249,0,-9,-1,ORD,ONT,1700,0
1994,3,29,2,1902,1900,2036,2034,UA,154,154,0,2,2,ORD,COS,911,1
1994,6,27,1,2014,1930,2200,2132,DL,286,302,0,28,44,MCO,LAX,2217,1
1994,9,20,2,1650,1645,1750,1802,US,60,77,0,-12,5,LGA,BUF,292,1
1994,11,10,4,1435,1430,1528,1525,WN,53,55,0,3,5,DAL,HOU,239,1
1994,5,25,3,701,700,751,753,UA,50,53,0,-2,1,MIA,MCO,193,1
1994,6,7,2,1325,1325,1612,1615,WN,107,110,0,-3,0,LAX,ELP,714,0
1994,2,23,3,1313,1315,1444,1454,DL,91,99,0,-10,-2,PDX,SFO,550,0
1994,7,8,5,1258,1300,1330,1330,DL,32,30,0,0,-2,CSG,ATL,83,0
1994,3,3,4,1745,1745,1838,1840,HP,53,55,0,-2,0,LAX,LAS,236,0
1994,1,18,2,646,645,752,805,AA,66,80,0,-13,1,MCI,ORD,403,1
1994,9,29,4,1231,1230,1430,1437,US,59,67,0,-7,1,BHM,CLT,351,1
1994,8,15,1,810,810,850,900,CO,100,110,0,-10,0,DEN,PHX,602,0
1994,9,27,2,824,824,1018,1019,AA,114,115,0,-1,0,HSV,DFW,603,0
1994,5,29,7,1733,1733,1903,1900,DL,90,87,0,3,0,ATL,TPA,406,1
1994,12,19,1,1335,1331,1341,1347,TW,66,76,0,-6,4,DAY,STL,338,1
1994,7,16,6,1600,1520,1749,1632,US,109,72,0,77,40,CLT,DCA,331,1
1994,11,23,3,1857,1900,1932,1956,NW,95,116,0,-24,-3,DTW,DSM,534,0
1994,9,25,7,45,25,122,108,DL,37,43,0,14,20,SDF,DAY,144,1
1994,10,30,7,2037,1855,2338,2133,US,181,158,0,125,102,PHL,MIA,1013,1
1994,5,7,6,1156,1159,1248,1249,AA,52,50,0,-1,-3,MEM,BNA,200,0
1994,6,25,6,758,800,1123,1102,CO,145,122,0,21,-2,ORD,EWR,719,1
1994,1,25,2,1456,1455,2033,2002,DL,217,187,0,31,1,SLC,CVG,1449,1
1994,11,18,5,1803,1755,1950,1945,DL,107,110,0,5,8,DTW,ATL,594,1
1994,11,9,3,1000,1000,1054,1050,WN,114,110,0,4,0,SLC,PDX,630,1
1994,8,29,1,1704,1705,1807,1815,DL,63,70,0,-8,-1,ATL,GNV,300,0
1994,7,19,2,804,805,842,845,UA,38,40,0,-3,-1,MEM,LIT,129,0
1994,11,22,2,1921,1915,2023,2015,US,62,60,0,8,6,GSO,DCA,248,1
1994,6,20,1,2138,2140,2226,2226,US,48,46,0,0,-2,CLT,MYR,156,0
1994,12,23,5,1247,1245,1355,1400,AA,68,75,0,-5,2,MSP,ORD,334,1
1994,11,15,2,1452,1450,1722,1729,UA,330,339,0,-7,2,IAD,SFO,2419,1
1994,10,20,4,1430,1430,1654,1655,US,144,145,0,-1,0,PHL,PBI,951,0
1994,1,12,3,847,840,1038,1032,US,111,112,0,6,7,BWI,ATL,576,1
1994,7,11,1,1115,1045,1736,1626,DL,261,221,0,70,30,SEA,DFW,1660,1
1994,5,13,5,815,807,934,930,UA,79,83,0,4,8,ORD,OMA,416,1
1994,4,4,1,1641,1643,1812,1810,TW,151,147,0,2,-2,TPA,STL,869,1
1994,1,3,1,0,2014,0,2315,CO,0,121,0,0,0,ORD,EWR,719,0
1994,3,29,2,656,700,856,849,AA,120,109,0,7,-4,OMA,DFW,583,1
1994,7,13,3,848,850,1122,1128,TW,334,338,0,-6,-2,JFK,LAX,2475,0
1994,7,29,5,2311,2310,103,110,DL,112,120,0,-7,1,ATL,EWR,745,1
1994,9,23,5,2308,2240,6,2327,DL,58,47,0,39,28,BOS,BGR,201,1
1994,1,6,4,213,200,607,605,DL,174,185,0,2,13,ANC,SEA,1449,1
1994,10,4,2,719,715,848,847,UA,149,152,0,1,4,PVD,ORD,849,1
1994,8,14,7,814,814,842,846,AA,88,92,0,-4,0,RDU,BNA,443,0
1994,8,23,2,731,730,1027,1028,UA,356,358,0,-1,1,EWR,SFO,2565,1
1994,7,28,4,2008,1959,2144,2135,DL,96,96,0,9,9,SLC,ABQ,0,1
1994,11,2,3,1955,1955,2213,2211,DL,78,76,0,2,0,LIT,ATL,453,1
1994,2,21,1,758,800,1334,1359,UA,216,239,0,-25,-2,LAX,ORD,1745,0
1994,9,27,2,1502,1500,1608,1612,UA,66,72,0,-4,2,LAX,SFO,337,1
1994,11,11,5,602,605,803,823,DL,61,78,0,-20,-3,LAS,SLC,368,0
1994,4,6,3,1426,1341,1719,1616,TW,113,95,0,63,45,STL,DTW,440,1
1994,2,4,5,1727,1710,2011,2012,TW,104,122,0,-1,17,STL,JAX,753,1
1994,7,27,3,0,811,0,921,US,0,70,0,0,0,BOS,SYR,264,0
1994,1,8,6,1440,1434,1808,1800,AA,148,146,0,8,6,DFW,DTW,987,1
1994,5,8,7,1139,1145,1337,1405,US,118,140,0,-28,-6,TPA,BWI,842,0
1994,12,29,4,2130,2130,2323,2320,WN,53,50,0,3,0,LAS,PHX,256,1
1994,10,30,7,1846,1839,1924,1920,DL,98,101,0,4,7,SLC,OAK,588,1
1994,10,4,2,1545,1545,1808,1805,DL,83,80,0,3,0,MSY,ATL,425,1
1994,6,13,1,1103,1100,1145,1139,US,42,39,0,6,3,CLT,GSO,83,1
1994,11,2,3,1100,1100,1149,1150,US,49,50,0,-1,0,CHS,CLT,168,0
1994,5,30,1,815,815,1030,1028,US,135,133,0,2,0,PIT,MCO,834,1
1994,8,14,7,1210,1210,1415,1408,HP,65,58,0,7,0,MDW,CMH,284,1
1994,5,13,5,646,645,1347,1345,DL,241,240,0,2,1,SAN,CVG,1865,1
1994,8,9,2,1619,1620,2030,2027,CO,191,187,0,3,-1,IAH,BWI,1235,1
1994,3,23,3,1050,1050,1623,1637,AA,213,227,0,-14,0,SNA,ORD,1726,0
1994,12,1,4,835,830,1006,954,CO,91,84,0,12,5,MDW,OMA,423,1
